0;0;10.188037;-50.6861818
1;1;200.1872254;-80.6939293
2;2;10.1835662;-110.691926
3;3;300.1800862;-140.6886743
4;4;70.1806316;-170.6813345
5;5;110.1790796;-200.6737177
6;6;50.1802993;-230.6663254
7;7;400.1857458;-8.6611903
8;8;190.1902015;-8.6611609
9;9;160.1880888;-50.6545109
10;10;10.1823864;-8.6522296
11;11;41.1773131;-8.6466083
12;12;41.17288;-8.6418335
13;13;41.1655163;-8.6364114
14;14;41.1605238;-8.6284756
15;15;41.1585387;-8.62226
16;16;41.1571006;-8.616836
17;17;41.1522641;-8.6093848
18;18;41.1497666;-8.6060366
19;19;41.1488204;-8.5984131
20;20;41.1466855;-8.5931417
21;21;41.1505649;-8.5859588
22;22;41.1612938;-8.5819088
23;23;41.3780395;-8.7581311
24;24;41.3734063;-8.7542059
25;25;41.3689402;-8.7496295
26;26;41.3645599;-8.7452949
27;27;41.3590498;-8.739877
28;28;41.3540066;-8.7358057
29;29;41.3459682;-8.7283025
30;30;41.3403908;-8.7256569
31;31;41.3342489;-8.720734
32;32;41.3211814;-8.718716
